ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
chyeju,The wolf and the water bird,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",1,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,98,JG01,female,21,no,1996,no,TN,2017,225.02893424036282,kurabe2012;kurabe2016;kurabe2018
dwi,The orphan and his grandmother,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",2,dwi_mp3 dwi_wav dwi_eaf dwi_xml dwi_tsv,256,JG01,female,21,no,1996,no,TN,2017,562.1913832199547,kurabe2012;kurabe2016;kurabe2018
galang,The man who became a mad vulture,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",3,galang_mp3 galang_wav galang_eaf galang_xml galang_tsv,100,JG01,female,21,no,1996,no,TN,2017,206.84045351473924,kurabe2012;kurabe2016;kurabe2018
ganu,The widow's son,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",4,ganu_mp3 ganu_wav ganu_eaf ganu_xml ganu_tsv,72,JG02,female,24,no,1993,no,TN,2017,201.73733333333334,kurabe2012;kurabe2016;kurabe2018
hkaili,The man who married a bad wife,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",5,hkaili_mp3 hkaili_wav hkaili_eaf hkaili_xml hkaili_tsv,99,JG01,female,21,no,1996,no,TN,2017,233.4374603174603,kurabe2012;kurabe2016;kurabe2018
hpaji,The wolf and the crow,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",6,hpaji_mp3 hpaji_wav hpaji_eaf hpaji_xml hpaji_tsv,42,JG01,female,21,no,1996,no,TN,2017,114.3568253968254,kurabe2012;kurabe2016;kurabe2018
manau,The haughty Indian night jar,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",7,manau_mp3 manau_wav manau_eaf manau_xml manau_tsv,44,JG03,male,59,no,1956,no,TN,2015,147.71809523809523,kurabe2012;kurabe2016;kurabe2018
natga,The woman who called a spirit,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",8,natga_mp3 natga_wav natga_eaf natga_xml natga_tsv,82,JG03,male,61,no,1956,no,TN,2017,223.7170068027211,kurabe2012;kurabe2016;kurabe2018
nchyang,The three servants,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",9,nchyang_mp3 nchyang_wav nchyang_eaf nchyang_xml nchyang_tsv,64,JG01,female,21,no,1996,no,TN,2017,142.50956916099773,kurabe2012;kurabe2016;kurabe2018
nga,The thief who stole cattle,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",10,nga_mp3 nga_wav nga_eaf nga_xml nga_tsv,78,JG01,female,21,no,1996,no,TN,2017,177.4033560090703,kurabe2012;kurabe2016;kurabe2018
shanngayi,The deer that lost its horn,,Keita Kurabe,"Kurabe, Keita. 2023. Multi-CAST Jinghpaw. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#jinghpaw) (date accessed)",11,shanngayi_mp3 shanngayi_wav shanngayi_eaf shanngayi_xml shanngayi_tsv,64,JG01,female,21,no,1996,no,TN,2017,153.6,kurabe2012;kurabe2016;kurabe2018
